occupation,soc2020_code,explanation,employment_2021_mean,employment_2025_mean,employment_growth_pct,ons_soc2010_code,ons_soc2010_description,ons_probability_of_automation,ons_match_note,ons_score_0_5,ons_matched,task_family_original,task_family,classification_rationale,us_soc,felten_aioe,us_title,webb_lm_aioe,felten_matched,webb_matched,felten_aioe_0_5,webb_lm_aioe_0_5,ChatGPT,DeepSeek,Gemini3Pro,pooled_mean
Environmental health professional,2483,Monitors environmental risks and compliance; inspections and legal duties remain human.,9000.0,12633.333333333334,40.37037037037038,2463.0,Environmental health professionals,0.234393,mapped by closest SOC2010 unit group,1.171965,True,"Compliance, inspection and safety","Compliance, inspection and safety",Retained from original deterministic mapping.,19-5011,,,,False,False,,,4.0,3.0,2.0,3.0
Construction project manager,2455,"Manages site execution, contracts, and safety; heavy on-field coordination keeps replacement low.",107500.0,105633.33333333331,-1.7364341085271362,2436.0,Construction project managers and related professionals,0.257037,mapped by closest SOC2010 unit group,1.285185,True,"Management, coordination and policy","Management, coordination and policy",Retained from original deterministic mapping.,11-9021,1.029139,Construction Managers,0.6361951,True,True,4.168550177762218,3.5969393017364673,4.0,2.0,2.0,2.6666666666666665
Hydrogeologist,2114,Studies groundwater systems; complex field data and risk decisions limit automation.,26200.0,32966.666666666664,25.826972010178107,,,,no direct SOC2010 match in ONS table,,False,Field survey and site investigation,Field survey and site investigation,Retained from original deterministic mapping.,19-2043,0.6405071,Hydrologists,0.5548691,True,True,3.2140471081053743,3.367759195356497,3.0,2.0,3.0,2.6666666666666665
Environmental/geo-environmental engineer,2152,Designs remediation and investigates sites; field uncertainty and liability reduce automation.,45300.0,80766.66666666667,78.29286239882268,2142.0,Environment professionals,0.237091,mapped by closest SOC2010 unit group,1.185455,True,Engineering analysis and modelling,Engineering analysis and modelling,Retained from original deterministic mapping.,17-2081,1.343561,Environmental Engineers,1.043951,True,True,4.940789317595166,4.746012667438209,3.0,2.0,3.0,2.6666666666666665
Road traffic and transport safety officer,3582,Manages safety standards and audits; field enforcement requires human presence.,75400.0,87766.66666666667,16.40141467727675,3567.0,Health and safety officers,0.35873,mapped by closest SOC2010 unit group,1.79365,True,"Compliance, inspection and safety","Compliance, inspection and safety",Retained from original deterministic mapping.,33-3051,-0.6681123,Police and Sheriff's Patrol Officers,-0.6402014,True,True,0.0,0.0,3.0,2.0,3.0,2.6666666666666665
Occupational hygienist,3582,Measures exposure risks and advises controls; field sampling reduces automation.,75400.0,87766.66666666667,16.40141467727675,3567.0,Health and safety officers,0.35873,mapped by closest SOC2010 unit group,1.79365,True,Field survey and site investigation,Field survey and site investigation,Retained from original deterministic mapping.,19-5011,,,,False,False,,,3.0,3.0,2.0,2.6666666666666665
Occupational health and safety officer,3582,Develops and enforces safety systems; AI can assist analysis but accountability is human.,75400.0,87766.66666666667,16.40141467727675,3567.0,Health and safety officers,0.35873,mapped by closest SOC2010 unit group,1.79365,True,"Compliance, inspection and safety","Compliance, inspection and safety",Retained from original deterministic mapping.,19-5011,,,,False,False,,,3.0,2.0,3.0,2.6666666666666665
Civil engineering technician,3114,"Supports engineers with testing and site tasks; some office tasks are automatable, field work is not.",5500.0,17433.333333333332,216.96969696969697,3114.0,Building and civil engineering technicians,0.377667,mapped by closest SOC2010 unit group,1.888335,True,Field survey and site investigation,Field survey and site investigation,Retained from original deterministic mapping.,17-3022,0.9323219,Civil Engineering Technicians,0.5532153,True,True,3.930761619629771,3.363098717035528,3.0,3.0,2.0,2.6666666666666665
Building control surveyor,2454,Inspects compliance with building regulations; site inspections and liability limit automation.,76500.0,59500.0,-22.22222222222222,2434.0,Chartered surveyors,0.246337,mapped by closest SOC2010 unit group,1.231685,True,"Compliance, inspection and safety","Compliance, inspection and safety",Retained from original deterministic mapping.,13-1041,0.6981205,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.5718207,True,True,3.3555490464520923,3.4155295208527803,3.0,2.0,2.0,2.3333333333333335
Geotechnical engineer,2121,Interprets ground investigation data and manages site risk; field uncertainty and geologic judgment reduce replacement.,115800.0,97566.66666666669,-15.745538284398384,2121.0,Civil engineers,0.252381,mapped by closest SOC2010 unit group,1.261905,True,Field survey and site investigation,Engineering analysis and modelling,Moved from field survey to engineering analysis because core work includes ground-model synthesis and numerical design.,17-2051,1.282867,Civil Engineers,0.9267973,True,True,4.791721242355453,4.415868587699786,3.0,2.0,2.0,2.3333333333333335
Surveying technician,3114,Collects measurement data; automation helps processing but field collection stays human.,5500.0,17433.333333333332,216.96969696969697,3114.0,Building and civil engineering technicians,0.377667,mapped by closest SOC2010 unit group,1.888335,True,Field survey and site investigation,Field survey and site investigation,Retained from original deterministic mapping.,17-3022,0.9323219,Civil Engineering Technicians,0.5532153,True,True,3.930761619629771,3.363098717035528,2.0,3.0,2.0,2.3333333333333335
Land surveyor,2454,Collects and processes spatial measurements; data processing can be automated but field work persists.,76500.0,59500.0,-22.22222222222222,2434.0,Chartered surveyors,0.246337,mapped by closest SOC2010 unit group,1.231685,True,Field survey and site investigation,Field survey and site investigation,Retained from original deterministic mapping.,17-1022,0.1460606,Surveyors,-0.121288,True,True,1.9996570849727324,1.4623199003269716,3.0,2.0,2.0,2.3333333333333335
Building control officer,3581,Enforces building regulations through inspections; legal accountability limits automation.,48000.0,46366.666666666664,-3.402777777777783,3565.0,Inspectors of standards and regulations,0.336136,mapped by closest SOC2010 unit group,1.68068,True,"Compliance, inspection and safety","Compliance, inspection and safety",Retained from original deterministic mapping.,13-1041,0.6981205,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.5718207,True,True,3.3555490464520923,3.4155295208527803,3.0,2.0,2.0,2.3333333333333335
Building technician,3114,Assists with inspections and measurements; site presence reduces automation.,5500.0,17433.333333333332,216.96969696969697,3114.0,Building and civil engineering technicians,0.377667,mapped by closest SOC2010 unit group,1.888335,True,Field survey and site investigation,Field survey and site investigation,Retained from original deterministic mapping.,17-3022,0.9323219,Civil Engineering Technicians,0.5532153,True,True,3.930761619629771,3.363098717035528,2.0,3.0,2.0,2.3333333333333335
Housing and planning inspector,3581,Inspects compliance with housing and planning rules; site judgment keeps automation low.,48000.0,46366.666666666664,-3.402777777777783,3565.0,Inspectors of standards and regulations,0.336136,mapped by closest SOC2010 unit group,1.68068,True,"Compliance, inspection and safety","Compliance, inspection and safety",Retained from original deterministic mapping.,13-1041,0.6981205,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.5718207,True,True,3.3555490464520923,3.4155295208527803,2.0,2.0,2.0,2.0
Traffic and vehicle examiner/inspector,3581,Inspects safety and compliance; physical inspection is hard to automate fully.,48000.0,46366.666666666664,-3.402777777777783,3565.0,Inspectors of standards and regulations,0.336136,mapped by closest SOC2010 unit group,1.68068,True,"Compliance, inspection and safety","Compliance, inspection and safety",Retained from original deterministic mapping.,13-1041,0.6981205,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.5718207,True,True,3.3555490464520923,3.4155295208527803,2.0,3.0,1.0,2.0
Gas engineer (professional),2129,Designs and advises on gas systems; safety and regulatory liability constrain automation.,70500.0,114200.0,61.98581560283688,2129.0,Engineering professionals n.e.c.,0.288824,mapped by closest SOC2010 unit group,1.44412,True,Field survey and site investigation,Engineering analysis and modelling,Reclassified to engineering analysis to reflect professional design/advisory interpretation rather than trade service work.,17-2141,1.004709,Mechanical Engineers,0.6780269,True,True,4.108548644198667,3.714823082742117,2.0,2.0,2.0,2.0
Hydrographic surveyor,2454,Maps underwater terrain; specialized equipment and field conditions reduce automation potential.,76500.0,59500.0,-22.22222222222222,2434.0,Chartered surveyors,0.246337,mapped by closest SOC2010 unit group,1.231685,True,Field survey and site investigation,Field survey and site investigation,Retained in field survey but flagged as mixed digital/field role in sensitivity analysis.,17-1022,0.1460606,Surveyors,-0.121288,True,True,1.9996570849727324,1.4623199003269716,2.0,2.0,2.0,2.0
Health and safety inspector,3581,Evaluates safety compliance on sites; field judgment and enforcement limit automation.,48000.0,46366.666666666664,-3.402777777777783,3567.0,Health and safety officers,0.35873,mapped by closest SOC2010 unit group,1.79365,True,"Compliance, inspection and safety","Compliance, inspection and safety",Retained from original deterministic mapping.,19-5011,,,,False,False,,,2.0,2.0,2.0,2.0
