model,model_id,prompt_variant,run,occupation,soc2020_code,score,confidence,rationale,temperature,top_p,max_tokens,context_cleared
Gemini 3 Pro,Gemini-3,main_prompt,1,Quantity surveyor,2453,4,High,Extremely high data-processing and cost-estimation intensity based on structured codes and rules.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Building control surveyor,2454,2,High,"Text-heavy compliance verification is balanced by mandatory, physical on-site inspections.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Land surveyor,2454,2,High,"Requires physical fieldwork and spatial hardware operation, though data processing exposure exists downstream.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Hydrographic surveyor,2454,2,High,"Dependent on physical marine deployments and specialized sensor hardware, despite high digital data outputs.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Town planning officer,2452,4,High,"Highly exposed to text-heavy policy evaluation, report writing, and structured regulatory reviews.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Urban designer,2452,3,High,"High exposure in rapid layout generation, but relies on creative judgement and physical spatial constraints.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Chartered architectural technologist,2452,4,High,"Focuses heavily on the structured, technical translation of design concepts into rule-based documentation.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,BIM technician,3120,4,High,"Highly exposed to digital automation in model generation, data coordination, and routine clash detection.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,CAD technician,3120,4,High,Highly standardised task profile involving the drafting of technical specifications from structured inputs.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Architectural technician,3120,4,High,Heavy emphasis on repetitive design detailing and rule-based technical drawing production.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Cartographer,3120,4,High,Primarily digital workspace involving highly standardised geographic data processing and map compilation.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Civil engineering technician,3114,2,High,"Tied closely to physical site testing, manual material checking, and practical fieldwork support.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Building technician,3114,2,High,"Centred around physical inspections, manual measurements, and on-site asset observations.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Surveying technician,3114,2,High,"Relies heavily on real-world field data collection, hardware placement, and manual operations.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Planning engineer,2481,4,High,Workflow planning and data-driven resource optimization are highly algorithmic and text-heavy.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Quality control engineer,2481,3,High,"High exposure in auditing text compliance, though physical verification limits full automation.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Estimator,3541,4,High,"Highly standardised quantitative analysis of data, drawing files, and structured cost-coding sets.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Valuer,3541,3,High,"High data-processing and report-writing exposure, but requires human localized market intuition.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Energy adviser and assessor,3541,4,High,Highly structured process utilizing standardized software inputs to generate compliance metrics.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Building control officer,3581,2,High,Requires physical enforcement authority and on-site regulatory inspections to verify conditions.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Housing and planning inspector,3581,2,High,Dominated by real-world property walkthroughs and physical condition evaluations.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Health and safety inspector,3581,2,High,Dynamic on-site environmental assessments and acute situational risk evaluations limit exposure.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Traffic and vehicle examiner/inspector,3581,1,High,"Almost exclusively physical, sensory inspection of mechanical components and safety hardware.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Occupational health and safety officer,3582,3,High,"Exposed through standard compliance design, but limited by sensitive employee interactions and clinical context.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Fire safety officer,3582,3,High,"High exposure via rule-based document checking, but requires physical path checking and high-stakes accountability.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Road traffic and transport safety officer,3582,3,High,Balances text-based safety audits and compliance logging with real-world infrastructure checks.,UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Occupational hygienist,3582,2,High,"Highly reliant on physical sensor placement, on-site sampling, and specific physical laboratory risks.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Environmental health professional,2483,2,High,"Strongly bound to physical context investigations, field sampling, and real-time legal enforcement actions.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Environmental consultant,2152,4,High,"Mainly focused on structured environmental impact report writing, data processing, and desk studies.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Environmental scientist,2152,3,High,"High digital data and statistical analysis exposure, balanced by field sample collection requirements.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Environmental/geo-environmental engineer,2152,3,High,"Involves heavy data-driven remediation design, but is anchored by physical ground uncertainties.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Sustainability officer,2152,4,High,"Intensively focused on ESG data compilation, corporate reporting synthesis, and policy drafting.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Energy manager,2152,4,High,"Highly exposed to digital utility data analytics, trend evaluation, and continuous efficiency compliance.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Hydrogeologist,2114,3,High,"High exposure via algorithmic subterranean modelling, but constrained by unobservable physical variables.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,1,Hydrologist,2114,4,High,"Highly exposed due to a reliance on digital flood simulations, GIS parsing, and computational data processing.",UI default,UI default,UI default,True
Gemini 3 Pro,Gemini-3,main_prompt,2,Civil engineer,2121,3,High,Moderate exposure due to data-heavy project documentation balanced by physical infrastructure risk and on-site oversight.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Structural engineer,2121,3,High,"High reliance on structured code compliance and mathematical checks, though limited by strict physical safety accountability.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Geotechnical engineer,2121,2,High,Lower exposure driven by unpredictable subsurface field conditions and physical site investigation demands.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Transportation engineer,2121,3,High,"High exposure in processing transport models and data analytics, limited by political and social decision-making.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Water engineer (professional),2121,3,High,"Exposed via routine hydrological calculations and compliance tracking, but anchored by real-world system assets.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Building and building services engineer,2121,3,High,"Strong potential for automated text and design-code checking, balanced by interdisciplinary spatial coordination.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Engineering project manager,2127,3,High,"High exposure in parsing technical project logs and summaries, but requires human-centric leadership.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Project engineer,2127,3,High,"Balances routine technical document preparation with high-frequency, face-to-face team delivery meetings.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Energy engineer,2129,4,High,Highly exposed to digital text and data pipelines regarding system performance models and carbon reporting.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Traffic engineer,2129,3,High,"Data-heavy modelling steps are exposed, but critical public safety factors mandate physical validation.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Heating and ventilating engineer (professional),2129,3,High,"Involves highly structured layout parameters and equipment text processing, tied to physical space constraints.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Gas engineer (professional),2129,2,High,Severely limited by high-consequence physical safety risks and practical engineering hardware inspection.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Construction project manager,2455,2,High,"Primarily focused on manual on-site execution, subcontractor coordination, and real-time incident resolution.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Construction contract manager,2455,4,High,"Extremely high text-processing intensity involving standardized contract review, drafting, and dispute matching.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Transport planner,2455,4,High,"Desk-based role dominated by extensive data parsing, policy report generation, and strategic plan drafting.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Quantity surveyor,2453,4,High,"Highly routine and rules-based calculations of costs, material takeoffs, and bill of quantities documentation.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Building control surveyor,2454,2,High,"While regulations are text-heavy, mandatory on-site physical inspection duties limit exposure.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Land surveyor,2454,2,High,"Mainly practical field measurement and sensor hardware management, with data processing localized downstream.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Hydrographic surveyor,2454,2,High,"Constrained by physical maritime deployments and sensor operation, despite processing substantial digital data.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Town planning officer,2452,4,High,"Highly exposed to text-driven workflows including planning applications, local policy matching, and written briefs.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Urban designer,2452,3,High,"Exposed in layout ideation and rapid concept generation, but relies heavily on human spatial judgement.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Chartered architectural technologist,2452,4,High,"Focuses intensely on translating design concepts into highly standardised, rule-based building specification text.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,BIM technician,3120,4,High,"Highly digitised role centered on rule-based model auditing, metadata schema checking, and automated clash reports.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,CAD technician,3120,4,High,High exposure due to standardized drafting procedures and technical drawing conversions from explicit rules.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Architectural technician,3120,4,High,"Characterized by routine, detail-oriented drafting tasks and standard drawing production workflows.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Cartographer,3120,4,High,"Almost entirely digital workspace involving standardized spatial data compilation, layout generation, and map production.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Civil engineering technician,3114,2,High,"Tied to physical laboratory material crushing, site inspections, and manual equipment handling.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Building technician,3114,2,High,"Anchored by physical building diagnostics, manual testing procedures, and asset walkthroughs.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Surveying technician,3114,2,High,"Predominantly involves the practical, hands-on setup of physical surveying targets and instruments in the field.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Planning engineer,2481,4,High,"Algorithmic and text-heavy workflow focusing on timeline logic, resource logs, and scheduling outputs.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Quality control engineer,2481,3,High,"High exposure to text-based standard operating procedures, but restricted by physical product verification.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Estimator,3541,4,High,"Highly structured quantitative data processing against strict, rule-based material databases.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Valuer,3541,3,High,"Exposed through extensive document processing, but requires human nuanced market negotiation.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Energy adviser and assessor,3541,4,High,Highly standardised and software-guided compliance calculation matching rigid regulatory data forms.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Building control officer,3581,2,High,"Strongly bound to physical enforcement authority, physical asset testing, and site hazard identification.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Housing and planning inspector,3581,2,High,"Requires extensive physical inspections of property degradation, dampness, and structurally tactile issues.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Health and safety inspector,3581,2,High,Relies on immediate physical observation of site hazards and high-stakes field enforcement.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Traffic and vehicle examiner/inspector,3581,1,High,"Focused entirely on physical mechanical diagnostics, tactile safety system checks, and tool manipulation.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Occupational health and safety officer,3582,3,High,"Exposed through standard hazard policy design, but insulated by sensitive face-to-face employee clinical assessments.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Fire safety officer,3582,3,High,"High code-matching textual workload, balanced by physical verification of exit routes and hardware status.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Road traffic and transport safety officer,3582,3,High,Blends text-based auditing and compliance documentation with real-world infrastructure and asset validation.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Occupational hygienist,3582,2,High,"Dependent on the physical deployment of air pumps, site chemical sampling, and lab environmental measurements.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Environmental health professional,2483,2,High,"Tied to real-world inspections, tactile sampling protocols, and localized community statutory noise/nuisance enforcement.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Environmental consultant,2152,4,High,"Mainly structured desk studies, literature-based environmental impact assessments, and regulatory report writing.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Environmental scientist,2152,3,High,"High statistical and digital data processing exposure, balanced by manual wilderness or field sampling tasks.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Environmental/geo-environmental engineer,2152,3,High,Balances data-heavy remediation chemical profiles with high site uncertainty and soil data physical gaps.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Sustainability officer,2152,4,High,"Exposed to massive volumes of text reporting, greenhouse gas accounting templates, and compliance tracking.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Energy manager,2152,4,High,"Highly automated utility meter data parsing, consumption anomaly screening, and template-driven strategy writing.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Hydrogeologist,2114,3,High,"Exposed through algorithmic modeling of aquifer systems, though constrained by subsurface data limits.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,2,Hydrologist,2114,4,High,"Highly digitized workflow heavily centered on flood simulation code execution, GIS analytics, and data processing.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Civil engineer,2121,3,High,"High exposure in technical report drafting and data processing, but limited by physical asset delivery and site safety duties.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Structural engineer,2121,3,High,"Workflow relies on highly structured calculation checking and code matching, though bounded by physical liability.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Geotechnical engineer,2121,2,High,Mainly restricted by the high uncertainty of physical subsurface conditions and hands-on site investigations.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Transportation engineer,2121,3,High,"High data-processing intensity for transit models, balanced by complex public socio-political trade-offs.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Water engineer (professional),2121,3,High,"Exposed through algorithmic network calculations and compliance tracking, but linked to real-world asset physical limits.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Building and building services engineer,2121,3,High,"Strong potential for automated layout optimization against design standards, limited by physical spatial clashes.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Engineering project manager,2127,3,High,"High text-processing intensity for performance logs and summaries, but heavily requires human leadership.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Project engineer,2127,3,High,"Balances routine technical document synthesis with frequent, face-to-face cross-team coordination.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Energy engineer,2129,4,High,Highly exposed to digital workflows focusing on carbon accounting systems and algorithmic plant performance models.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Traffic engineer,2129,3,High,"Data-heavy traffic simulation tasks are exposed, but ultimate validation demands real-world public safety scrutiny.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Heating and ventilating engineer (professional),2129,3,High,"Involves highly structured parameters and template-driven component documentation, bounded by physical space.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Gas engineer (professional),2129,2,High,Severely restricted by high-consequence physical network hazards and manual hardware inspection rules.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Construction project manager,2455,2,High,"Primarily focused on manual on-site execution, subcontractor coordination, and tactical crisis management.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Construction contract manager,2455,4,High,"Extremely high text-processing exposure involving standardized contract analysis, drafting, and regulatory reviews.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Transport planner,2455,4,High,"Desk-based role centered on processing large data arrays, drafting transport policies, and compiling briefs.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Quantity surveyor,2453,4,High,"Highly routine and rules-based cost computation, material takeoff validation, and commercial documentation.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Building control surveyor,2454,2,High,"Regulatory interpretation tasks are text-heavy, but core role demands physical on-site verification.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Land surveyor,2454,2,High,"Mainly practical field observation and spatial sensor operation, with text processing localized downstream.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Hydrographic surveyor,2454,2,High,"Constrained by physical marine vessel deployments and sensor operation, despite processing substantial digital data.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Town planning officer,2452,4,High,Highly exposed to text-driven workflows including parsing development rules and drafting planning briefs.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Urban designer,2452,3,High,"Exposed in generative layout ideation, but strongly limited by site context and human spatial experience.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Chartered architectural technologist,2452,4,High,"Focuses intensely on translating design concepts into highly standardised, rule-based building technical text.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,BIM technician,3120,4,High,"Highly digitized role centered on rule-based dataset integration, schema checking, and automated clash reports.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,CAD technician,3120,4,High,High exposure due to standardized vector drawing rules and technical script conversions from clear specifications.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Architectural technician,3120,4,High,"Characterized by routine, detail-oriented drafting tasks and template-driven construction drawing production.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Cartographer,3120,4,High,"Almost entirely digital workspace involving standardized spatial data compilation, layout generation, and map production.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Civil engineering technician,3114,2,High,"Tied to physical material sample testing, onsite infrastructure measurements, and manual tool handling.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Building technician,3114,2,High,"Anchored by physical building diagnostics, manual test procedures, and tactile asset walkthroughs.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Surveying technician,3114,2,High,"Predominantly involves the practical, hands-on calibration and physical placement of hardware tools in the field.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Planning engineer,2481,4,High,"Algorithmic and text-heavy workflow focusing on project timeline logic, resource logs, and scheduling outputs.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Quality control engineer,2481,3,High,"High exposure to text-based standard operating procedures, but restricted by physical product verification.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Estimator,3541,4,High,"Highly structured quantitative data processing against strict, rule-based commercial databases.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Valuer,3541,3,High,"Exposed through extensive document processing, but requires human nuanced localized market intuition.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Energy adviser and assessor,3541,4,High,Highly standardised and software-guided compliance calculation matching rigid regulatory data forms.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Building control officer,3581,2,High,"Strongly bound to physical enforcement authority, physical asset testing, and site hazard identification.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Housing and planning inspector,3581,2,High,"Requires extensive physical inspections of property degradation, dampness, and structurally tactile issues.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Health and safety inspector,3581,2,High,Relies on immediate physical observation of unsafe site acts and high-stakes field enforcement.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Traffic and vehicle examiner/inspector,3581,1,High,"Focused entirely on physical mechanical diagnostics, tactile safety system checks, and tool manipulation.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Occupational health and safety officer,3582,3,High,"Exposed through standard hazard policy design, but insulated by sensitive face-to-face employee clinical assessments.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Fire safety officer,3582,3,High,"High code-matching textual workload, balanced by physical verification of exit routes and hardware status.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Road traffic and transport safety officer,3582,3,High,Blends text-based auditing and compliance documentation with real-world transport asset validation.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Occupational hygienist,3582,2,High,"Dependent on the physical deployment of air pumps, site chemical sampling, and lab environmental measurements.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Environmental health professional,2483,2,High,"Tied to real-world inspections, tactile sampling protocols, and localized community statutory noise enforcement.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Environmental consultant,2152,4,High,"Mainly structured desk studies, literature-based environmental impact assessments, and regulatory report writing.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Environmental scientist,2152,3,High,"High statistical and digital data processing exposure, balanced by manual wilderness or field sampling tasks.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Environmental/geo-environmental engineer,2152,3,High,Balances data-heavy remediation chemical profiles with high site uncertainty and soil data physical gaps.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Sustainability officer,2152,4,High,"Exposed to massive volumes of text reporting, greenhouse gas accounting templates, and compliance tracking.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Energy manager,2152,4,High,"Highly automated utility meter data parsing, consumption anomaly screening, and template-driven strategy writing.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Hydrogeologist,2114,3,High,"Exposed through algorithmic modeling of aquifer systems, though constrained by subsurface data limits.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,3,Hydrologist,2114,4,High,"Highly digitized workflow heavily centered on flood simulation code execution, GIS analytics, and data processing.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,4,Civil engineer,2121,3,High,Balances data-intensive documentation and design generation with physical site oversight and safety-critical legal accountability.,UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,4,Structural engineer,2121,3,High,"High exposure within rule-based calculations and structural code matching, restricted by immediate physical liability.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,4,Geotechnical engineer,2121,2,High,"Limited by significant subsurface uncertainty, hands-on field investigations, and physical soil testing parameters.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,4,Transportation engineer,2121,3,High,"Involves data-heavy regional transit modelling, but execution is bound by complex political and community trade-offs.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,4,Water engineer (professional),2121,3,High,"Exposed via algorithmic flow simulations and compliance logging, but constrained by real-world physical asset limits.",UI default,UI default,UI default,False
Gemini 3 Pro,Gemini-3,main_prompt,4,Building and building services engineer,2121,3,High,"High potential for automated layout optimization against technical standards, limited by physical asset coordination.",UI default,UI default,UI default,False
